Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R64,10k,R_0603_1608Metric,130.002,-115.04,0.0,top
R65,10k,R_0603_1608Metric,126.002,-115.04,0.0,top
R66,10k,R_0603_1608Metric,122.002,-115.04,0.0,top
R67,10k,R_0603_1608Metric,118.177,-115.04,0.0,top
R68,2k7,R_0603_1608Metric,142.202,-101.74,180.0,top
R69,2k7,R_0603_1608Metric,142.202,-100.14,180.0,top
R7,10k,R_0603_1608Metric,136.779,-101.029,-90.0,top
R70,2k7,R_0603_1608Metric,153.202,-99.94,0.0,top
R71,2k7,R_0603_1608Metric,153.227,-101.54,0.0,top
R8,10k,R_0603_1608Metric,134.239,-101.092,-90.0,top
R9,10k,R_0603_1608Metric,131.699,-100.965,-90.0,top
U1,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,152.843,-91.948,0.0,top
U2,~,PinSocket_1x22_P2.54mm_Vertical,140.589,-78.994,90.0,top
U3,~,PinSocket_1x22_P2.54mm_Vertical,140.589,-104.392,90.0,top
U4,NCV7805BDTRKG,TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL,116.65,-93.726,180.0,top
U5,NCV8705MW33TCG,VDFN-8_L3.0-W3.0-P0.65-BL-EP,115.573,-88.301,-90.0,top
